TELLO A.;Cen  ;-999;0;0;0;0;0;0;0;0;5.0
BUCHEL M.;Cen ;-999;0;0;0;0;0;0;0;0;5.0
DIOUSSE A.;Cen  ;-999;0;0;0;0;0;0;0;0;5.0
SAPONARA R.;Tre ;-999;0;0;0;0;0;0;0;0;6.0
PUCCIARELLI M.;Att  ;-999;0;0;0;0;0;0;0;0;5.5
MACCARONE M.;Att  ;-999;0;0;0;1;0;0;0;0;5.5
ZAMBELLI M.;Dif ;-999;0;0;0;0;0;0;0;0;5.5
CROCE D.;Cen ;-999;0;0;0;0;0;0;0;0;5.5
MARILUNGO G.;Att ;-999;0;0;0;0;0;0;0;0;5.5
TATARUSANU C.;Por  ;-999;0;2;0;0;0;0;0;0;7.0
DE MAIO S.;Dif  ;-999;0;0;0;1;0;0;0;0;5.5
TOMOVIC N.;Dif  ;-999;0;0;0;1;0;0;0;0;5.0
RODRIGUEZ G.;Dif  ;-999;0;0;0;0;0;0;0;0;6.0
MILIC H.;Dif  ;-999;0;0;0;1;0;0;0;0;5.0
VALERO B.;Cen ;-999;0;0;0;0;0;0;0;0;5.5
SANCHEZ C.;Cen  ;-999;0;0;0;0;0;0;0;0;6.0
BADELJ M.;Cen  ;-999;0;0;0;0;0;0;0;0;6.0
TELLO C.;Tre ;-999;0;0;1;0;0;0;0;0;6.0
BERNARDESCHI F.;Tre ;-999;1;0;0;0;0;0;0;0;6.5
BABACAR K.;Att  ;-999;1;0;0;0;0;0;0;0;7.0
CRISTOFORO S.;Cen ;-999;0;0;0;0;0;0;0;0;6.0
CHIESA F.;Tre ;-999;0;0;0;0;0;0;0;0;0
KALINIC N.;Att ;-999;0;0;0;0;0;0;0;0;6.0
PERIN M.;Por  ;-999;0;0;0;0;0;0;0;0;6.5
BURDISSO N.;Dif  ;-999;0;0;0;0;0;0;0;0;6.0
IZZO A.;Dif  ;-999;0;0;0;0;0;0;0;0;6.0
ORBAN L.;Dif  ;-999;0;0;0;1;0;0;0;0;5.5
NTCHAM O.;Cen  ;-999;0;0;0;1;0;0;0;0;6.0
RIGONI L.;Cen  ;-999;0;0;0;0;0;0;0;0;6.0
RINCON T.;Cen  ;-999;0;0;0;1;0;0;0;0;6.5
LAXALT D.;Cen  ;-999;0;0;0;0;0;0;0;0;6.5
LAZOVIC D.;Tre ;-999;0;0;0;0;0;0;0;0;6.0
OCAMPOS L.;Tre ;-999;0;0;0;0;0;0;0;0;6.5
PAVOLETTI L.;Att ;-999;0;0;0;0;0;0;0;0;6.0
EDENILSON A.;Dif ;-999;0;0;0;0;0;0;0;0;0
MUNOZ E.;Dif ;-999;0;0;0;0;0;0;0;0;6.0
SIMEONE G.;Att ;-999;0;0;0;1;0;0;0;0;5.5
HANDANOVIC S.;Por  ;-999;0;0;0;0;0;0;0;0;7.0
DAMBROSIO D.;Dif  ;-999;0;0;0;0;0;0;0;0;6.5
MIRANDA J.;Dif  ;-999;0;0;0;1;0;0;0;0;7.0
MURILLO J.;Dif  ;-999;0;0;0;1;0;0;0;0;6.0
SANTON D.;Dif  ;-999;0;0;0;0;0;0;0;0;6.0
MEDEL G.;Cen ;-999;0;0;0;1;0;0;0;0;7.0
KONDOGBIA G.;Cen ;-999;0;0;0;0;0;0;0;0;6.0
JOAO MARIO;Tre  ;-999;0;0;1;1;0;0;0;0;7.5
PERISIC I.;Tre  ;-999;0;0;0;0;0;0;0;0;6.5
CANDREVA A.;Tre ;-999;0;0;1;0;0;0;0;0;7.0
ICARDI M.;Att  ;-999;2;0;0;0;0;0;0;0;7.5
MELO F.;Cen ;-999;0;0;0;0;0;0;0;0;0
GNOUKOURI A.;Cen ;-999;0;0;0;0;0;0;0;0;6.0
EDER C.;Att ;-999;0;0;0;0;0;0;0;0;6.0
BUFFON G.;Por ;-999;0;0;0;0;0;0;0;0;0
ALEX SANDRO;Dif  ;-999;0;0;0;0;0;0;0;0;7.0
CHIELLINI G.;Dif  ;-999;0;0;0;0;0;0;0;0;6.5
BARZAGLI A.;Dif  ;-999;0;0;0;0;0;0;0;0;6.5
ALVES D.;Dif  ;-999;1;0;0;0;0;0;0;0;7.0
RUGANI D.;Dif  ;-999;1;0;0;1;0;0;0;0;7.0
HERNANES;Cen  ;-999;0;0;0;0;0;0;0;0;6.0
LEMINA M.;Cen  ;-999;0;0;0;0;0;0;0;0;6.5
PJANIC M.;Cen  ;-999;0;0;1;0;0;0;0;0;7.0
HIGUAIN G.;Att ;-999;1;0;0;0;0;0;0;0;7.5
DYBALA P.;Att ;-999;0;0;0;0;0;0;0;0;6.0
